masv,hodem,ten,ngaysinh,gioitinh,noisinh,malop
2495,Lê Thế,Nhã,2002/09/04,0,Trà Vinh,LU24
2496,Lê Thế,Thanh,2005/05/18,0,Vĩnh Long,HQ23
2497,Phạm Gia,Dương,2000/06/09,1,Cần Thơ,SP23
2498,Trần Minh,Bích,2002/10/16,0,Nam Định,PM23
2499,Nguyễn Nhật,Đức,2003/1/3,0,Tiền Giang,TC23
2500,Phan Mạnh,Anh,2000/7/11,1,Cần Thơ,TC23
2501,Phạm Thế,Cẩm,2003/7/12,0,Vĩnh Long,HT24
2502,Trần Quang,Duy,2003/9/26,1,Trà Vinh,PM21
2503,Phan Thế,Huỳnh,2004/10/11,1,Tây Ninh,PM21
2504,Trương Thị,Đạt,2000/1/27,0,Nam Định,PM22
2505,Lê Trung,Dương,2002/3/1,1,An Giang,DT24
2506,Lê Thế,Hà,2000/7/26,0,HCM,SP23
2507,Phạm Trung,Đạt,2002/5/18,1,Long An,TO24
2508,Võ Mạnh,Diễm,2004/5/9,0,Long An,PM23
2509,Phan Hoài,Phương,2005/8/17,0,Tây Ninh,DL24
2510,Bùi Hữu,Đức,2000/10/26,1,Tây Ninh,HD24
2511,Nguyễn Thị,Nhi,2003/8/12,0,HCM,SP23
2512,Lê Minh,Giang,2005/10/20,1,Tiền Giang,TM24
2513,Trương Văn,Nhã,2004/8/8,1,Nam Định,TU23
2514,Phạm Văn,Ân,2002/9/2,1,An Giang,NA24
2515,Phan Thị,Thanh,2002/12/9,0,Tây Ninh,HD24
2516,Bùi Thế,Vân,2000/12/18,0,HCM,HT23
2517,Bùi Mạnh,Như,2003/12/8,1,HCM,TU22
2518,Bùi Quang,Vỹ,2004/6/14,0,Nam Định,NA22
2519,Bùi Mạnh,Duy,2002/4/24,0,Vĩnh Long,TM24
2520,Võ Thế,Linh,2005/4/17,0,An Giang,MK24
2521,Phan Thế,Nhã,2000/11/28,0,Tây Ninh,MK24
2522,Phan Thế,Giang,2004/9/9,0,Trà Vinh,PM22
2523,Trần Thị,Bạch,2002/10/28,0,Vĩnh Long,TU22
2524,Lê Gia,Ánh,2005/5/22,0,HCM,HT24
2525,Trương Gia,Băng,2003/3/12,0,An Giang,TO24
2526,Phạm Thế,Vy,2003/1/29,0,Tiền Giang,PM21
2527,Võ Nhật,Như,2000/8/10,0,Vĩnh Long,SP22
2528,Bùi Gia,Nghĩa,2002/10/8,0,Tiền Giang,VL24
2529,Bùi Hoài,Duyên,2003/8/8,1,Vĩnh Long,LU24
2530,Trần Trung,Khôi,2000/4/10,0,Cần Thơ,HT24
2531,Trương Hoài,Khánh,2002/9/1,1,HCM,HT24
2532,Phạm Gia,Danh,2004/10/2,0,Vĩnh Long,HT23
2533,Trương Gia,Vỹ,2001/9/8,0,HCM,HC24
2534,Trần Trung,Ngọc,2003/12/11,0,Tiền Giang,VL24
2535,Bùi Nhật,Ánh,2002/11/2,1,Tây Ninh,NA22
2536,Lê Hoàng,Cường,2004/6/13,0,Long An,TO24
2537,Võ Hữu,Lợi,2003/4/24,1,Long An,TC24
2538,Phạm Mạnh,Sương,2000/6/5,0,An Giang,TU23
2539,Phạm Nhật,Băng,2003/11/28,0,Long An,PM24
2540,Bùi Hoàng,Tài,2002/11/24,0,Tiền Giang,DT24
2541,Nguyễn Gia,Bích,2000/9/3,0,Trà Vinh,VL24
2542,Võ Thị,Khánh,2004/5/26,0,Nam Định,DL24
2543,Phạm Thị,My,2004/10/29,0,Tiền Giang,TC24
2544,Trương Mạnh,Bạch,2002/10/15,0,Vĩnh Long,PM21
2545,Phạm Minh,Trang,2004/5/13,1,Tây Ninh,HD24
2546,Bùi Văn,Danh,2003/11/30,1,Nam Định,SP24
2547,Trương Mạnh,Ngọc,2003/9/7,0,Vĩnh Long,HQ23
2548,Lê Mạnh,Đại,2001/12/11,0,An Giang,HT24
2549,Trương Hoàng,Khanh,2005/10/9,0,HCM,HQ23
2550,Trương Thế,Sang,2003/1/20,0,Nam Định,TO24
2551,Nguyễn Hoài,Uyên,2003/7/1,0,Vĩnh Long,PM23
2552,Bùi Quang,Ánh,2001/6/3,1,Cần Thơ,SP24
2553,Phan Mạnh,Đạt,2002/1/5,1,Long An,SP23
2554,Lê Minh,Cẩm,2001/9/20,1,Tây Ninh,LU24
2555,Trương Hoài,Dương,2002/10/15,0,HCM,PM24
2556,Bùi Hoàng,Chi,2005/6/4,0,Long An,HT23
2557,Nguyễn Trung,Vỹ,2003/12/28,0,Cần Thơ,MK24
2558,Võ Mạnh,Phú,2004/12/19,0,An Giang,HD24
2559,Bùi Hoài,Hồng,2001/10/4,0,Trà Vinh,PM23
2560,Phạm Gia,Uyên,2003/1/6,1,An Giang,HT22
2561,Võ Gia,Vân,2000/12/23,1,HCM,TC24
2562,Phan Minh,Ân,2001/5/27,1,Cần Thơ,LU24
2563,Phan Minh,An,2001/2/9,0,Nam Định,TO24
2564,Trần Thị,My,2002/11/1,0,Vĩnh Long,PM22
2565,Trần Quang,Chi,2000/11/8,1,Nam Định,NA23
2566,Nguyễn Minh,Phượng,2005/3/19,1,An Giang,VL24
2567,Trần Minh,Uyên,2005/10/18,1,HCM,NA24
2568,Trương Văn,Bạch,2005/3/10,1,Long An,TM24
2569,Lê Hữu,Nghĩa,2000/7/21,1,Tây Ninh,HC24
2570,Võ Minh,Mỹ,2002/5/15,1,Vĩnh Long,HQ23
2571,Phan Quang,Nhã,2003/5/13,1,Tây Ninh,DT24
2572,Lê Hoàng,Vinh,2004/10/26,1,Tây Ninh,SP22
2573,Trần Nhật,Long,2002/5/9,1,Cần Thơ,HD24
2574,Võ Quang,Tài,2002/11/2,0,Nam Định,DT24
2575,Trần Mạnh,Vinh,2005/2/9,0,Nam Định,PM21
2576,Phan Văn,Dương,2001/1/12,1,Trà Vinh,NA23
2577,Nguyễn Thị,Khánh,2004/5/9,0,Cần Thơ,TC24
2578,Phạm Hoàng,Đại,2002/7/4,1,Tây Ninh,SP22
2579,Trương Nhật,Lợi,2001/6/10,0,Nam Định,TC24
2580,Võ Hoàng,Uyên,2000/6/10,0,Nam Định,MT24
2581,Võ Mạnh,Cường,2001/4/8,0,An Giang,HT24
2582,Bùi Thế,Chi,2000/8/16,1,An Giang,DL24
2583,Phan Gia,Thành,2005/9/28,1,Tây Ninh,HQ24
2584,Võ Thị,Oanh,2003/8/3,0,Vĩnh Long,PM23
2585,Lê Thị,Oanh,2002/2/16,0,Nam Định,HQ24
2586,Bùi Thế,Băng,2001/2/12,0,Tây Ninh,PM21
2587,Trần Trung,Bình,2001/5/30,1,HCM,HC24
2588,Phạm Hữu,Bạch,2004/8/5,1,Vĩnh Long,NA24
2589,Trần Hoài,Danh,2001/4/11,0,Tiền Giang,NA22
2590,Phan Trung,Thành,2005/9/11,1,Tây Ninh,PM21
2591,Lê Hoài,Bích,2004/7/2,1,Nam Định,PM24
2592,Trương Gia,Nghĩa,2001/10/23,0,Long An,SP23
2593,Lê Thế,Như,2000/12/27,1,Vĩnh Long,HT24
2594,Trần Gia,Dung,2001/9/6,1,An Giang,SP22
2595,Phạm Gia,Duyên,2005/6/25,0,An Giang,LU24
2596,Lê Trung,Thanh,2001/5/15,1,Tây Ninh,PM22
2597,Võ Hoàng,Vinh,2003/10/7,1,An Giang,TO24
2598,Bùi Thế,Linh,2000/11/11,0,Cần Thơ,TM24
2599,Phạm Minh,Hà,2005/7/19,0,Tiền Giang,HT23
2600,Phan Hữu,Khang,2003/5/28,1,Vĩnh Long,NA24
2601,Trần Gia,Ngân,2005/3/28,0,Long An,HT24
2602,Lê Minh,Tấn,2003/8/13,0,HCM,TC23
2603,Nguyễn Minh,Dương,2003/6/17,0,Trà Vinh,PM23
2604,Võ Hoàng,Khánh,2001/10/14,1,Nam Định,TC24
2605,Phan Nhật,Mỹ,2005/4/30,0,Tiền Giang,PM21
2606,Phan Hữu,Phượng,2000/12/20,1,Nam Định,HQ24
2607,Phan Nhật,Vy,2004/8/6,0,Nam Định,HQ24
2608,Nguyễn Thị,Khải,2004/6/15,0,An Giang,NA24
2609,Võ Minh,Vinh,2003/9/9,0,Tây Ninh,NA23
2610,Phan Hoài,Hậu,2001/7/5,1,Long An,HQ23
2611,Trương Quang,Trang,2000/4/7,1,HCM,HT24
2612,Phan Thế,Bích,2000/8/13,1,Cần Thơ,TM24
2613,Trần Minh,Châu,2002/2/5,1,Cần Thơ,PM23
2614,Võ Quang,Dương,2002/12/7,0,Trà Vinh,TC23
2615,Trương Mạnh,Khôi,2003/9/25,0,Tây Ninh,TU23
2616,Trần Minh,Khanh,2001/5/12,0,An Giang,SP23
2617,Phạm Trung,An,2005/11/28,1,An Giang,LU24
2618,Lê Thế,Phượng,2001/1/27,0,Trà Vinh,TM24
2619,Trần Văn,Dung,2003/7/6,1,HCM,HD24
2620,Trương Hữu,Kiều,2001/8/2,1,Cần Thơ,TU23
2621,Bùi Hoài,Duy,2000/8/15,1,Trà Vinh,TI24
2622,Phan Minh,Danh,2005/8/5,0,Cần Thơ,SP23
2623,Phạm Mạnh,Linh,2000/12/28,1,Trà Vinh,MT24
2624,Bùi Văn,Chi,2005/6/29,1,Trà Vinh,MT24
2625,Võ Thế,Sương,2005/6/17,0,HCM,NA22
2626,Phan Minh,Tiên,2003/4/13,0,Trà Vinh,TC24
2627,Lê Quang,Thịnh,2002/3/26,0,Tây Ninh,VL24
2628,Lê Hoài,Bích,2005/6/29,0,Tiền Giang,LU24
2629,Trương Mạnh,Linh,2005/9/5,0,Long An,TU24
2630,Trương Gia,Khôi,2000/11/28,0,HCM,HD24
2631,Nguyễn Gia,Phước,2004/3/21,1,Nam Định,VL24
2632,Trần Nhật,Oanh,2003/5/29,1,Trà Vinh,SP22
2633,Lê Mạnh,Khôi,2001/12/16,0,Trà Vinh,MT24
2634,Võ Gia,Duy,2001/8/15,0,Trà Vinh,PM22
2635,Bùi Hữu,Vinh,2003/1/21,0,Nam Định,PM23
2636,Võ Thế,Băng,2000/5/27,1,HCM,TU23
2637,Trần Trung,Ân,2003/9/5,0,Nam Định,HT24
2638,Trần Hữu,Thanh,2001/12/20,0,Vĩnh Long,TU23
2639,Phan Gia,Cẩm,2004/9/16,1,Cần Thơ,TO24
2640,Trần Thị,Vinh,2005/7/27,0,Nam Định,DL24
2641,Bùi Minh,Vỹ,2000/6/6,1,HCM,PM23
2642,Trần Trung,Thắng,2002/9/8,0,Nam Định,PM24
2643,Nguyễn Hoàng,Kim,2003/6/16,1,HCM,HC24
2644,Lê Thị,Danh,2003/3/15,0,Nam Định,SP24
2645,Nguyễn Hoàng,Phương,2002/7/11,1,HCM,NA22
2646,Phạm Văn,Cẩm,2003/9/9,1,Cần Thơ,NA24
2647,Nguyễn Hữu,Duy,2005/9/11,1,Tây Ninh,MK24
2648,Bùi Hoài,Châu,2004/6/2,1,Tây Ninh,SP23
2649,Bùi Thế,Đức,2001/6/8,1,An Giang,SP22
2650,Nguyễn Hoàng,Nghĩa,2002/1/13,1,Nam Định,HT24
2651,Bùi Hữu,Bạch,2001/3/29,1,Tây Ninh,LU24
2652,Lê Thế,Ân,2002/11/12,1,An Giang,TI24
2653,Phan Trung,Hà,2003/8/18,1,Long An,SP22
2654,Trần Hoài,Bảo,2003/7/30,1,Cần Thơ,HQ24
2655,Bùi Hữu,Dương,2000/11/8,1,Tây Ninh,PM22
2656,Nguyễn Thế,Bích,2005/11/29,0,Vĩnh Long,TC24
2657,Bùi Văn,Khanh,2005/12/5,1,An Giang,TC23
2658,Võ Hữu,Bảo,2003/12/7,0,Long An,TI24
2659,Võ Trung,Tài,2004/7/7,1,Trà Vinh,TC23
2660,Trương Trung,Ngân,2000/12/16,1,Nam Định,TU22
2661,Trần Gia,Duyên,2004/4/28,1,Nam Định,PM23
2662,Phạm Thị,Ngân,2004/9/26,0,Vĩnh Long,HT23
2663,Trần Hoài,Ngọc,2002/6/7,0,Nam Định,SP23
2664,Phan Hoài,Dương,2005/4/28,0,HCM,TO24
2665,Lê Hoài,Bích,2005/12/9,0,Tây Ninh,TI24
2666,Lê Minh,Anh,2003/9/29,1,Tiền Giang,TU24
2667,Trương Thế,Thắng,2004/1/5,0,An Giang,VL24
2668,Trần Mạnh,Thắng,2003/2/15,1,Vĩnh Long,HT23
2669,Trần Thế,Chi,2001/10/21,1,Trà Vinh,TU22
2670,Võ Hoài,Oanh,2002/10/6,1,Trà Vinh,PM22
2671,Trương Văn,My,2001/10/29,1,Tiền Giang,HT22
2672,Trương Quang,Khanh,2000/5/21,0,An Giang,HT22
2673,Trương Hoàng,Phước,2003/6/24,1,Tiền Giang,TU22
2674,Phạm Văn,An,2003/5/16,1,Tiền Giang,TM24
2675,Nguyễn Mạnh,Chi,2000/6/20,1,Long An,PM22
2676,Trần Trung,Linh,2003/9/12,1,Vĩnh Long,TC24
2677,Phan Hữu,Lợi,2002/6/22,1,An Giang,SP23
2678,Võ Hữu,Nghĩa,2003/9/5,0,HCM,PM22
2679,Bùi Minh,Đức,2000/9/11,0,Trà Vinh,HT24
2680,Võ Hoàng,Khanh,2002/5/5,1,HCM,SP23
2681,Trần Thị,Vinh,2003/6/5,0,Nam Định,TU24
2682,Nguyễn Hoàng,Phượng,2003/1/7,1,HCM,TI24
2683,Trương Mạnh,Lợi,2004/10/19,0,Tiền Giang,HT23
2684,Phạm Minh,Phúc,2002/11/12,1,Cần Thơ,TC24
2685,Bùi Hữu,Vinh,2001/11/6,1,Cần Thơ,SP22
2686,Phạm Nhật,An,2000/11/12,1,Tiền Giang,TU23
2687,Võ Quang,Oanh,2003/4/17,0,Vĩnh Long,PM22
2688,Võ Hữu,Tấn,2002/11/6,0,Tiền Giang,DT24
2689,Trương Hoài,Phượng,2004/5/26,1,Nam Định,PM22
2690,Nguyễn Mạnh,Thương,2002/9/1,1,An Giang,HQ23
2691,Lê Thế,Như,2003/6/12,0,Vĩnh Long,DL24
2692,Võ Minh,Duyên,2002/6/10,0,Vĩnh Long,TM24
2693,Phan Quang,My,2005/5/24,1,An Giang,DT24
2694,Bùi Gia,Oanh,2005/1/24,1,Cần Thơ,HQ24
2695,Bùi Thị,Phượng,2004/7/21,0,Cần Thơ,TU24
2696,Phan Hữu,An,2004/2/25,1,Trà Vinh,PM24
2697,Phan Thế,Anh,2002/9/19,0,Tây Ninh,HC24
2698,Phan Hữu,Thành,2005/4/5,0,Tiền Giang,DL24
2699,Phan Thế,Băng,2000/3/5,0,Trà Vinh,TO24
2700,Lê Trung,Bình,2004/1/1,1,Vĩnh Long,TM24
2701,Phan Quang,Khải,2003/2/9,1,An Giang,HC24
2702,Phạm Mạnh,Hậu,2005/7/11,0,Long An,HC24
2703,Võ Mạnh,Giang,2000/11/25,1,Tây Ninh,LU24
2704,Nguyễn Gia,Khôi,2003/1/14,0,Tiền Giang,HD24
2705,Trương Minh,Ngân,2000/11/27,1,HCM,MT24
2706,Phạm Nhật,Phúc,2004/11/13,1,HCM,HC24
2707,Trương Thế,Anh,2004/11/21,1,Vĩnh Long,TU22
2708,Nguyễn Minh,Bảo,2003/4/26,1,Nam Định,TM24
2709,Bùi Mạnh,Thanh,2000/4/22,0,Tiền Giang,MT24
2710,Phạm Thế,Linh,2000/6/2,1,Cần Thơ,TM24
2711,Trần Mạnh,Lợi,2002/7/25,1,Cần Thơ,PM22
2712,Phan Gia,Thịnh,2000/9/12,1,Tây Ninh,HQ24
2713,Bùi Hoài,Tài,2004/8/14,1,An Giang,HT22
2714,Võ Hữu,Hồng,2004/3/5,0,Tây Ninh,HT22
2715,Trần Quang,Phú,2003/5/5,1,Cần Thơ,NA23
2716,Võ Văn,Như,2004/2/10,1,Long An,PM21
2717,Nguyễn Văn,Nghĩa,2005/8/24,1,Long An,TU22
2718,Trương Minh,Cường,2005/1/18,1,Cần Thơ,SP22
2719,Nguyễn Hoài,Anh,2001/8/10,0,Nam Định,HT24
2720,Trần Trung,Trang,2001/11/1,0,An Giang,HD24
2721,Phạm Mạnh,Sơn,2002/1/2,0,Long An,TU22
2722,Bùi Thị,Như,2001/9/14,0,Long An,TM24
2723,Trần Văn,Bình,2000/1/4,1,Vĩnh Long,VL24
2724,Trần Hữu,Khanh,2000/11/3,0,Nam Định,NA23
2725,Võ Thế,Khang,2004/9/4,0,HCM,TM24
2726,Nguyễn Hoàng,Chi,2000/11/6,0,Tiền Giang,SP24
2727,Trương Quang,Như,2005/2/4,0,Trà Vinh,HT22
2728,Võ Hoàng,My,2003/8/9,1,Trà Vinh,SP23
2729,Nguyễn Hoài,Duy,2003/8/27,1,Vĩnh Long,NA22
2730,Lê Hoài,Vinh,2003/1/22,1,Nam Định,LU24
2731,Lê Văn,Bảo,2003/10/2,1,An Giang,NA24
2732,Trần Trung,Giang,2003/1/7,0,Nam Định,TC24
2733,Nguyễn Nhật,Bạch,2002/8/8,1,Tiền Giang,PM21
2734,Trần Văn,Linh,2000/12/26,1,Vĩnh Long,TC23
2735,Trương Thị,Vỹ,2001/10/29,0,HCM,HD24
2736,Trần Nhật,Bạch,2005/5/14,0,Nam Định,TU23
2737,Lê Thị,Cường,2004/4/30,0,Cần Thơ,HT24
2738,Phan Nhật,Phượng,2005/4/24,1,Tiền Giang,DT24
2739,Võ Quang,Thắng,2000/9/15,0,Tiền Giang,MT24
2740,Võ Nhật,Bích,2000/6/13,1,Trà Vinh,HT24
2741,Phan Trung,Phượng,2001/9/28,0,Nam Định,NA22
2742,Phạm Hữu,Khanh,2004/4/2,0,An Giang,TU22
2743,Trương Thế,Khôi,2003/10/25,1,Tiền Giang,TI24
2744,Lê Hoàng,Vân,2001/11/18,0,HCM,HT22
2745,Phan Hữu,Bình,2000/9/12,0,HCM,HT24
2746,Võ Nhật,Trang,2003/4/3,1,Nam Định,HC24
2747,Võ Gia,Thành,2001/8/22,1,Tiền Giang,TU22
2748,Nguyễn Hoài,Thanh,2002/7/28,0,HCM,MT24
2749,Trần Thị,Ân,2003/5/17,0,HCM,HC24
2750,Trần Quang,Vân,2003/8/19,0,Trà Vinh,LU24
2751,Bùi Hữu,Tấn,2003/9/15,1,Long An,PM24
2752,Võ Trung,Cường,2001/6/15,0,Long An,HT23
2753,Nguyễn Mạnh,Duy,2004/9/25,1,Cần Thơ,SP23
2754,Phạm Quang,Nghĩa,2004/7/5,0,Tiền Giang,TC23
2755,Phạm Mạnh,Tài,2001/2/24,0,HCM,TC24
2756,Nguyễn Hữu,Tiên,2001/9/30,0,Long An,VL24
2757,Lê Nhật,Phú,2000/6/29,0,Tây Ninh,PM23
2758,Nguyễn Nhật,Uyên,2003/3/6,1,Cần Thơ,NA23
2759,Phan Quang,Vy,2000/9/15,1,An Giang,MT24
2760,Phan Quang,An,2002/12/15,1,Tây Ninh,HT24
2761,Nguyễn Mạnh,Long,2003/5/21,0,An Giang,TI24
2762,Trần Văn,Tài,2000/9/26,1,HCM,HQ24
2763,Trần Hoài,Nghĩa,2001/6/6,0,Trà Vinh,TI24
2764,Võ Văn,Thắng,2005/12/8,1,An Giang,NA24
2765,Lê Hữu,Phương,2003/7/26,0,HCM,HD24
2766,Võ Hoàng,Thanh,2002/4/3,1,Nam Định,PM24
2767,Bùi Thị,Thành,2004/11/2,0,Vĩnh Long,SP23
2768,Nguyễn Thế,Bảo,2000/5/10,1,An Giang,PM24
2769,Trương Hữu,Nhã,2003/8/12,0,HCM,VL24
2770,Võ Minh,Sơn,2001/7/14,0,Long An,SP22
2771,Phan Thị,Băng,2001/2/15,0,Vĩnh Long,TU22
2772,Lê Thị,Vinh,2000/12/12,0,HCM,LU24
2773,Võ Văn,Ngân,2000/5/3,1,HCM,TM24
2774,Phan Trung,Cẩm,2004/1/5,0,Long An,PM23
2775,Võ Hữu,Thanh,2004/9/17,1,HCM,TU23
2776,Võ Thị,Ân,2000/5/25,0,An Giang,HC24
2777,Võ Hoàng,Hồng,2004/12/9,1,Trà Vinh,SP23
2778,Phan Hoài,Ân,2002/5/21,0,Nam Định,HC24
2779,Nguyễn Hoài,Bạch,2001/3/8,0,Trà Vinh,MT24
2780,Lê Gia,Phượng,2005/7/18,1,Vĩnh Long,HQ23
2781,Trần Thị,Tài,2005/11/25,0,Tây Ninh,HT23
2782,Trần Thế,Uyên,2000/9/5,1,Nam Định,HC24
2783,Trương Nhật,Dương,2001/1/14,1,Long An,HT23
2784,Nguyễn Quang,An,2002/3/10,0,Trà Vinh,PM23
2785,Phan Gia,Phương,2005/9/24,1,Long An,VL24
2786,Trần Quang,Phúc,2004/7/19,0,Cần Thơ,LU24
2787,Bùi Thị,Khải,2001/5/14,0,Nam Định,TI24
2788,Phan Quang,Băng,2002/7/27,1,Tiền Giang,NA24
2789,Lê Hoàng,Vân,2001/1/15,0,An Giang,MT24
2790,Phan Mạnh,Tài,2001/12/19,1,Tây Ninh,NA22
2791,Trần Thị,Bình,2000/7/20,0,Nam Định,DT24
2792,Trần Nhật,Thanh,2001/12/26,0,Nam Định,TC23
2793,Trương Thị,Nghĩa,2002/4/21,0,Nam Định,PM24
2794,Trương Hoài,Kiều,2002/7/22,0,Tiền Giang,PM24
